    0.091, 0.5996, 0.5002,  4.06006,  4.06246,    10.00,  89.85,   0.02, 
    0.100, 0.5996, 0.5002,  4.05999,  4.06244,    10.00,  89.85,   0.02, 
    0.110, 0.5995, 0.5003,  4.05992,  4.06242,    10.00,  89.85,   0.02, 
    0.122, 0.5995, 0.5003,  4.05984,  4.06239,    10.00,  89.85,   0.03, 
    0.134, 0.5994, 0.5003,  4.05976,  4.06236,    10.00,  89.85,   0.03, 
    0.148, 0.5994, 0.5004,  4.05968,  4.06233,    10.00,  89.85,   0.03, 
    0.163, 0.5993, 0.5004,  4.05960,  4.06230,    10.00,  89.85,   0.03, 
    0.180, 0.5993, 0.5004,  4.05951,  4.06226,    10.00,  89.85,   0.03, 
    0.198, 0.5992, 0.5005,  4.05942,  4.06222,    10.00,  89.85,   0.03, 
    0.218, 0.5991, 0.5005,  4.05932,  4.06217,    10.00,  89.85,   0.03, 
    0.240, 0.5990, 0.5006,  4.05921,  4.06212,    10.00,  89.85,   0.03, 
    0.264, 0.5989, 0.5006,  4.05911,  4.06206,    10.00,  89.85,   0.03, 
    0.291, 0.5988, 0.5007,  4.05899,  4.06200,    10.00,  89.85,   0.03, 
    0.320, 0.5987, 0.5008,  4.05887,  4.06193,    10.00,  89.85,   0.03, 
    0.353, 0.5985, 0.5009,  4.05874,  4.06186,    10.00,  89.85,   0.03, 
    0.388, 0.5984, 0.5009,  4.05860,  4.06178,    10.00,  89.85,   0.03, 
    0.427, 0.5982, 0.5010,  4.05846,  4.06169,    10.00,  89.85,   0.03, 
    0.470, 0.5980, 0.5011,  4.05831,  4.06159,    10.00,  89.85,   0.03, 
    0.518, 0.5979, 0.5013,  4.05815,  4.06148,    10.00,  89.85,   0.03, 
    0.570, 0.5976, 0.5014,  4.05797,  4.06136,    10.00,  89.85,   0.03, 
    0.627, 0.5974, 0.5015,  4.05779,  4.06123,    10.00,  89.85,   0.03, 
    0.690, 0.5971, 0.5017,  4.05760,  4.06109,    10.00,  89.85,   0.03, 
    0.760, 0.5968, 0.5018,  4.05739,  4.06094,    10.00,  89.85,   0.04, 
    0.836, 0.5965, 0.5020,  4.05717,  4.06077,    10.00,  89.85,   0.04, 
    0.920, 0.5962, 0.5022,  4.05694,  4.06058,    10.00,  89.85,   0.04, 
    1.012, 0.5958, 0.5025,  4.05669,  4.06037,    10.00,  89.85,   0.04, 
    1.113, 0.5954, 0.5027,  4.05643,  4.06015,    10.00,  89.85,   0.04, 
    1.225, 0.5949, 0.5030,  4.05614,  4.05990,    10.00,  89.85,   0.04, 
    1.348, 0.5944, 0.5033,  4.05584,  4.05963,    10.00,  89.85,   0.04, 
    1.483, 0.5938, 0.5036,  4.05551,  4.05934,    10.00,  89.85,   0.04, 
    1.632, 0.5932, 0.5040,  4.05517,  4.05902,    10.00,  89.85,   0.04, 
    1.795, 0.5926, 0.5044,  4.05479,  4.05867,    10.00,  89.85,   0.04, 
    1.975, 0.5918, 0.5048,  4.05439,  4.05829,    10.00,  89.85,   0.04, 
    2.173, 0.5910, 0.5053,  4.05395,  4.05787,    10.00,  89.85,   0.04, 
    2.390, 0.5901, 0.5058,  4.05348,  4.05741,    10.00,  89.85,   0.04, 
    2.629, 0.5891, 0.5064,  4.05297,  4.05692,    10.00,  89.85,   0.04, 
    2.893, 0.5880, 0.5070,  4.05241,  4.05638,    10.00,  89.85,   0.04, 
    3.182, 0.5868, 0.5077,  4.05180,  4.05579,    10.00,  89.85,   0.04, 
    3.501, 0.5855, 0.5085,  4.05113,  4.05514,    10.00,  89.85,   0.04, 
    3.851, 0.5840, 0.5094,  4.05037,  4.05444,    10.00,  89.85,   0.04, 
    4.237, 0.5824, 0.5103,  4.04950,  4.05366,    10.00,  89.85,   0.04, 
    4.661, 0.5807, 0.5113,  4.04849,  4.05279,    10.00,  89.85,   0.04, 
    5.127, 0.5787, 0.5124,  4.04727,  4.05180,    10.00,  89.85,   0.05, 
    5.640, 0.5766, 0.5137,  4.04572,  4.05064,    10.00,  89.85,   0.05, 
    6.153, 0.5745, 0.5149,  4.04387,  4.04936,    10.00,  89.85,   0.05, 
    6.666, 0.5723, 0.5162,  4.04158,  4.04788,    10.00,  89.85,   0.06, 
    7.179, 0.5702, 0.5174,  4.03875,  4.04612,    10.00,  89.85,   0.07, 
    7.692, 0.5681, 0.5187,  4.03525,  4.04395,    10.00,  89.85,   0.09, 
    8.205, 0.5660, 0.5199,  4.03107,  4.04124,    10.00,  89.85,   0.10, 
    8.718, 0.5638, 0.5212,  4.02631,  4.03789,    10.00,  89.85,   0.12, 
