    0.091, 0.5962, 0.5022,  3.94644,  4.06061,   100.00,  24.85,  11.41, 
    0.100, 0.5958, 0.5024,  3.94492,  4.06040,   100.00,  24.85,  11.54, 
    0.110, 0.5954, 0.5027,  3.94323,  4.06017,   100.00,  24.85,  11.68, 
    0.122, 0.5950, 0.5030,  3.94135,  4.05992,   100.00,  24.85,  11.85, 
    0.134, 0.5944, 0.5033,  3.93925,  4.05965,   100.00,  24.85,  12.03, 
    0.148, 0.5939, 0.5036,  3.93688,  4.05935,   100.00,  24.85,  12.24, 
    0.163, 0.5932, 0.5040,  3.93420,  4.05902,   100.00,  24.85,  12.47, 
    0.180, 0.5926, 0.5044,  3.93115,  4.05867,   100.00,  24.85,  12.74, 
    0.198, 0.5918, 0.5048,  3.92768,  4.05828,   100.00,  24.85,  13.05, 
    0.218, 0.5910, 0.5053,  3.92373,  4.05786,   100.00,  24.85,  13.40, 
    0.240, 0.5900, 0.5058,  3.91924,  4.05739,   100.00,  24.85,  13.80, 
    0.264, 0.5890, 0.5064,  3.91417,  4.05689,   100.00,  24.85,  14.26, 
    0.291, 0.5879, 0.5071,  3.90848,  4.05634,   100.00,  24.85,  14.77, 
    0.320, 0.5867, 0.5078,  3.90224,  4.05574,   100.00,  24.85,  15.34, 
    0.353, 0.5854, 0.5086,  3.89562,  4.05509,   100.00,  24.85,  15.93, 
    0.388, 0.5839, 0.5094,  3.88893,  4.05437,   100.00,  24.85,  16.53, 
    0.427, 0.5823, 0.5104,  3.88248,  4.05358,   100.00,  24.85,  17.08, 
    0.470, 0.5805, 0.5114,  3.87646,  4.05270,   100.00,  24.85,  17.59, 
    0.518, 0.5785, 0.5126,  3.87087,  4.05169,   100.00,  24.85,  18.03, 
    0.570, 0.5764, 0.5138,  3.86556,  4.05050,   100.00,  24.85,  18.40, 
    0.627, 0.5740, 0.5152,  3.86037,  4.04904,   100.00,  24.85,  18.72, 
    0.690, 0.5714, 0.5168,  3.85514,  4.04711,   100.00,  24.85,  18.96, 
    0.760, 0.5685, 0.5184,  3.84973,  4.04439,   100.00,  24.85,  19.10, 
    0.836, 0.5653, 0.5203,  3.84403,  4.04032,   100.00,  24.85,  19.17, 
    0.920, 0.5618, 0.5223,  3.83792,  4.03415,   100.00,  24.85,  19.19, 
    1.012, 0.5580, 0.5246,  3.83127,  4.02560,   100.00,  24.85,  19.19, 
    1.113, 0.5538, 0.5270,  3.82392,  4.01587,   100.00,  24.85,  19.18, 
    1.225, 0.5492, 0.5297,  3.81564,  4.00747,   100.00,  24.85,  19.20, 
    1.348, 0.5441, 0.5327,  3.80601,  4.00175,   100.00,  24.85,  19.39, 
    1.483, 0.5385, 0.5360,  3.79459,  3.99796,   100.00,  24.85,  19.87, 
    1.632, 0.5323, 0.5396,  3.78128,  3.99465,   100.00,  24.85,  20.65, 
    1.795, 0.5255, 0.5436,  3.76667,  3.99042,   100.00,  24.85,  21.55, 
    1.975, 0.5181, 0.5480,  3.75211,  3.98386,   100.00,  24.85,  22.25, 
    2.173, 0.5099, 0.5528,  3.73892,  3.97330,   100.00,  24.85,  22.44, 
    2.390, 0.5008, 0.5580,  3.72745,  3.95697,   100.00,  24.85,  21.99, 
    2.629, 0.4909, 0.5639,  3.71718,  3.93431,   100.00,  24.85,  21.09, 
    2.893, 0.4800, 0.5702,  3.70740,  3.90793,   100.00,  24.85,  20.04, 
    3.182, 0.4680, 0.5773,  3.69751,  3.88363,   100.00,  24.85,  19.12, 
    3.501, 0.4548, 0.5850,  3.68694,  3.86592,   100.00,  24.85,  18.50, 
    3.851, 0.4402, 0.5935,  3.67521,  3.85444,   100.00,  24.85,  18.30, 
    4.237, 0.4242, 0.6029,  3.66189,  3.84573,   100.00,  24.85,  18.49, 
    4.661, 0.4067, 0.6132,  3.64679,  3.83659,   100.00,  24.85,  18.93, 
